Reviewer Name,Rating,Review,Date,Review_english
Annie Bergeron,2 étoiles,"Longue attente, confusion dans les files d'attente et peu de places disponibles pour s'asseoir.",il y a 7 ans,long wait confusion in queues and few places available to sit
Francisco Lopez,4 étoiles,cheap n' good food. good coffee too,il y a 6 ans,cheap n good food good coffee too
CHERIFI Karim,4 étoiles,"Friendly staff and nice services, I like 😁…",il y a 4 ans,friendly staff and nice services i like
morgane ravasi,4 étoiles,👍🏻 Drink food.... Qualité prix ça dépanne bien pour un petit creux…,il y a 5 ans,drink food quality price it helps out well for a little peckish
Sherifa Carmicheal,3 étoiles,"It's a Timmies
They got our order right!",il y a 2 ans,"its a timmies
they got our order right"
carole croteau,5 étoiles,Tres bien et trespropre et excellent excellent service,il y a 5 ans,very good and very clean and excellent excellent service
Abou Diomande,5 étoiles,J'ai bien kiff,il y a un an,I really liked it
Yvonne Bachoura,1 étoile,I ordered bagel with creme cheese I got a bagel 😑…,il y a 2 ans,i ordered bagel with creme cheese i got a bagel
Mustapha Laghzaoui (“Moul Lma7al”),3 étoiles,Service slow and the sandwiches lady not in a good mood,il y a 5 ans,service slow and the sandwiches lady not in a good mood
Franck Goessens,4 étoiles,Sympa pour un déjeuner ou un repas,il y a un an,nice for lunch or a meal
norman petrucci,2 étoiles,SVP ou sont les table je veux m assir ouff,il y a 7 ans,please where are the tables I want to sit phew
Rafael Lavoie,3 étoiles,Décevant d'arriver à 10h30 et qu'il ne reste plus d'œuf ni de yogourt.,il y a 7 ans,disappointing to arrive at 10:30 a.m. and there are no eggs or yogurt left
S Genereux,4 étoiles,Service efficace et bon café,il y a 6 ans,efficient service and good coffee
Dr.Hazem Barazi,4 étoiles,Nice place to stop and have coffee break or snack.,il y a 5 ans,nice place to stop and have coffee break or snack
Mathieu Robidoux,2 étoiles,Lots of untrained staff and don't have all the ingredients,il y a 7 ans,lots of untrained staff and dont have all the ingredients
Rafik BOURAS,3 étoiles,"Bona personnelles mais manque d'organisation ( pas de plateau, donné les choses partiellement)",il y a 4 ans,good personal but lack of organization no tray given things partially
JOEL CORMIER,3 étoiles,"Désolant, le service en anglais.",il y a un an,sorry the service in English
Pierre Leandre Simard,3 étoiles,"ginette, la creme dans le bagel,   elle va pas dans le trou",il y a 5 ans,ginette the cream in the bagel it doesn't go in the hole
Gustavo Adolfo Vasquez,5 étoiles,Nice place to take a coffe in the Place Des Arts.,il y a 7 ans,nice place to take a coffe in the place des arts
marianna levitan,5 étoiles,Excellent service and staff speak English !,il y a 5 ans,excellent service and staff speak english
Mostafa Fahsi nhayli,4 étoiles,Trop bien,il y a 2 ans,Very good
Baap Huun,1 étoile,"I ordered steep tea, really bad experience",il y a 2 ans,i ordered steep tea really bad experience
Jason Boyd (Linktreats),3 étoiles,Really nice staff and ok selection.,il y a 5 ans,really nice staff and ok selection
Mario Hains,5 étoiles,Ils savent bien cuire les clubs,il y a 2 ans,they know how to cook clubs well
William Ward,5 étoiles,Service super courtois et rapide!,il y a 5 ans,super courteous and fast service
Zilvinas D,4 étoiles,"Food is so so, but coffee could be better.",il y a 7 ans,food is so so but coffee could be better
Sam Wells,1 étoile,"At 4am is the last place you ever want to be, service was awful",il y a 6 ans,at 4am is the last place you ever want to be service was awful
Dimitris Katsaounis,4 étoiles,"A little crowded, but the line Moves quickly.",il y a 6 ans,a little crowded but the line moves quickly
Jonathan Dean,1 étoile,Place is never cleaned properly.,il y a un an,place is never cleaned properly
Lison Hart Roy,3 étoiles,Bof...déjeuner tout du congelé et chauffé au micro-onde,il y a 4 ans,bofbreakfast everything from frozen and heated in the microwave
Miguel Vaillancourt,1 étoile,Service beaucoup trop lent...,il y a 7 ans,service too slow
Christopher Lucki,4 étoiles,Perfect for breakfast and lunch. A Canadian icon,il y a 7 ans,perfect for breakfast and lunch a canadian icon
Quinn Barnes,1 étoile,Terrible coffee.,il y a 6 mois,terrible coffee
Nima Kazemi,5 étoiles,Place is good and staffs are nice.,il y a 5 ans,place is good and staffs are nice
Suzanne Roux,5 étoiles,Les jeunes son très gentil et polie,il y a 3 ans,young people are very nice and polite
Susan Grimshaw,3 étoiles,Fi d the service is slow at most times,il y a 4 ans,fi d the service is slow at most times
Tinks P,5 étoiles,You've got to love Timmy's! 😁…,il y a 6 ans,youve got to love timmys
Gemechu Fanta Garuma,4 étoiles,Quick service in one of the best locations.,il y a 6 ans,quick service in one of the best locations
Colson Pascaline,1 étoile,"Impossible de se faire servir en français, inacceptable.",il y a 5 ans,impossible to get service in French unacceptable
Christopher Côté,5 étoiles,Inexpensive coffee. Great location.,il y a 7 ans,inexpensive coffee great location
Bassil Beesoo,5 étoiles,It's more than love the place,il y a 5 ans,its more than love the place
Bernard Hebert,2 étoiles,Un Tim Horton pas de croissance wow,il y a 4 ans,a tim horton no growth wow
Oleksandra Kurash,5 étoiles,"Nice visit, fast service",il y a 2 ans,nice visit fast service
N'dji bonhomme,3 étoiles,Not so great customer sercive,il y a 5 ans,not so great customer sercive
Daniel LY,4 étoiles,It's cool and the coffee is good,il y a 7 ans,its cool and the coffee is good
David Gorman,5 étoiles,They make the best coffee,il y a 4 ans,they make the best coffee
Carl Gagnon,2 étoiles,Really not the best service in Montréal,il y a 6 ans,really not the best service in montréal
Pilla Nagu,4 étoiles,Nice for foodies .. should try veggies ...,il y a 6 ans,nice for foodies  should try veggies
faroq Ibrahim,5 étoiles,bon prix .. meilleur service,il y a 5 ans,good price best service
Anabela Fonseca,5 étoiles,Très bien,il y a 5 ans,Alright
Hélène Milliard,2 étoiles,Endroit pas très propre.,il y a 7 ans,not very clean place
sylvain dagenais,4 étoiles,Bon café,il y a 5 ans,good coffee
Alfonso Reyes,3 étoiles,Affordable fresh coffee and sweet bread.,il y a 7 ans,affordable fresh coffee and sweet bread
francois brochu (“François”),4 étoiles,Ce n'est pas encore revenu à la normale,il y a 4 ans,it's not back to normal yet
Vg G,4 étoiles,Good food.,il y a 6 ans,good food
Krishan Modi,4 étoiles,"Good stuff, a slow staff",il y a 6 ans,good stuff a slow staff
Javier Martinez,5 étoiles,"j'adore le chocolat chaud, la limonade et les muffins",il y a 7 ans,"I love hot chocolate, lemonade and muffins"
Charles M,2 étoiles,Incredibly slow service.,il y a 5 ans,incredibly slow service
Ammar Darhou (A-pper),3 étoiles,Paa mal,il y a 5 ans,paa mal
Aoufa Elamiri,5 étoiles,Good coffee and snacks near you,il y a 5 ans,good coffee and snacks near you
Aziza Lamqaddam,3 étoiles,Service très lent,il y a 2 ans,very slow service
Michel Gauvin,4 étoiles,Service manque de rapidité,il y a un an,slow service
Laurence M.,3 étoiles,Cher pour ce que c'est.,il y a un an,Expensive for what it is
Jasmin V,3 étoiles,Very slow service!,il y a 2 ans,very slow service
Cheyenne Marika Lendji,4 étoiles,C'est bon 😊…,il y a 4 ans,It's good
Nasa Rouf,4 étoiles,Open all night! Always a plus.,il y a 6 ans,open all night always a plus
Sam Floripa,5 étoiles,Nice place,il y a 7 mois,nice place
Stéphane Masse,5 étoiles,Bon service rapide,il y a 7 ans,good fast service
Bryan Wabie,4 étoiles,What can I say it's Tim Hortons,il y a 7 ans,what can i say its tim hortons
Tristan Gheeraert,5 étoiles,Très bon :),il y a 2 ans,very good
Amr Hefni,4 étoiles,Propre! Ouvert 24h,il y a 8 ans,clean open 24 hours
george emil,5 étoiles,very nice place affordable,il y a 7 ans,very nice place affordable
Alexandre Dufour-Théroux,5 étoiles,vraiment pas bon,il y a 5 ans,really not good
H3D Dératisation Désinsectisation Dépigeonnage,4 étoiles,Jaime tim hortons,il y a un an,jaime tim hortons
daniel labreche,1 étoile,Très mauvais service,il y a 2 ans,very bad service
Michel,3 étoiles,Un Tim...Rapide et efficace,il y a 7 ans,a quick and efficient
Lem Lev,5 étoiles,J'ai adoré,il y a 5 ans,I loved
Mady De Costa,5 étoiles,Nice cheap place to eat,il y a 5 ans,nice cheap place to eat
Andre Rivard,4 étoiles,Service courtois et rapide.,il y a 5 ans,courteous and fast service
Digna Delgado,3 étoiles,Ouvert 24 heures 🙌…,il y a 5 ans,open 24 hours
Mathieu Albertin,4 étoiles,Très bon services,il y a 6 ans,very good service
Balli Saini,5 étoiles,Manager is very nice,il y a 5 ans,manager is very nice
Arijit Mallick,4 étoiles,Cool,il y a un an,cool
Agri Zabala,5 étoiles,Tre bonne café,il y a 4 ans,very good coffee
Guy Bilodeau,5 étoiles,Beau,il y a un an,beau
Mahmoud Sallam,5 étoiles,Beat place to get a drink and a treat.,il y a 4 ans,beat place to get a drink and a treat
Alexander Nachaj,4 étoiles,It's functioning a Tim Hortons.,il y a 6 ans,its functioning a tim hortons
TITUS,5 étoiles,Il sont vraiment ordonné,il y a 7 ans,they are really orderly
Pear Prabhnoor,4 étoiles,Great cafe and internet,il y a 5 ans,great cafe and internet
Andrew Rank,1 étoile,Ads holdd,il y a 5 ans,ads holdd
alex Stumpo,4 étoiles,quite good place.,il y a 6 ans,quite good place
Richard Beland,5 étoiles,Services rapide et courtois,il y a 5 ans,fast and courteous services
Jean-Francois Dupont,4 étoiles,Rapide et propre,il y a 4 ans,fast and clean
James Collom,3 étoiles,So crowded it's crazy,il y a 7 ans,so crowded its crazy
morgen,5 étoiles,Cheep but good food and drinks,il y a 5 ans,cheep but good food and drinks
Nicole Beaulieu,2 étoiles,Service à la clientèle à revoir...,il y a 4 ans,customer service to be reviewed
Girish Kini,5 étoiles,"When in Canada, do it the Canadian way",il y a 4 ans,when in canada do it the canadian way
Richard Bachand,3 étoiles,Ses du Tim rien de spécial,il y a 4 ans,its just tim nothing special
Jessica Di Raddo,1 étoile,"Aucun service en français,",il y a 2 ans,no service in French
Benamar Salem,5 étoiles,Bien placé,il y a 3 ans,well put
David Oancia,2 étoiles,Barely qualifies as food.,il y a 4 ans,barely qualifies as food
Drew,5 étoiles,"Fast, even with a line",il y a 4 ans,fast even with a line
Mike Mike,3 étoiles,Bof,il y a 2 ans,bof
Lynn Lalynzy,5 étoiles,Timmies coffee #1,il y a 5 ans,timmies coffee 1
Botelho,5 étoiles,Fye,il y a 2 ans,fye
Abdel Kiki,5 étoiles,I like tim hortons,il y a 3 ans,i like tim hortons
Raouf Kouicem,5 étoiles,Excellant,il y a 4 ans,excellant
Younesse KARDACH,5 étoiles,Excellent service,il y a 4 ans,excellent service
Vpn Eighty,1 étoile,Employee 0/5,il y a 3 ans,employee 05
Ethan 001,3 étoiles,Bof,il y a 5 ans,bof
Smirnovitch Sergeï,3 étoiles,Pas mauvais ...,il y a 6 ans,not bad
Mahmut Nanus,5 étoiles,Delicious,il y a 2 ans,delicious
Mwansa Bwalya,3 étoiles,good service,il y a 7 ans,good service
Simon Rancourt,1 étoile,101 ou 401,il y a 2 ans,101 or 401
Abdessadek Mouad,5 étoiles,Super,il y a 5 ans,super
Rita Abi Rached,5 étoiles,Good coffee,il y a 4 ans,good coffee
Gizelle SL,3 étoiles,Good chocolate,il y a 5 ans,good chocolate
Leilani Lalut,4 étoiles,Like the coffee,il y a 6 ans,like the coffee
mak saafi,5 étoiles,Chaleureux,il y a 6 ans,warm
Mayra Ivette Quiroga Lomas,4 étoiles,"Mon préféré est le wrap au chocolat chaud et au poulet. Les prix sont abordables et les portions sont de bonne taille. Chaque fois que je visite Montréal, je vais chez un Tim Hurtons car il n'y a pas de succursales au Mexique 😪…",il y a 10 mois,my favorite is the hot chocolate and chicken wrap the prices are affordable and the portions are a good size every time i visit montreal i go to a tim hurtons because there are no branches in mexico
Dragon M.,3 étoiles,Restauration rapide canadienne. Le goût est bof. J'étais reconnaissant d'avoir un café chaud par une matinée froide.,il y a un an,Canadian fast food the taste is meh I was grateful to have hot coffee on a cold morning
Javier Graniel Alamilla,5 étoiles,"Bon service, bons prix et tout est très délicieux",il y a 2 semaines,good service good prices and everything is very delicious
Aslan Mendoza,3 étoiles,"L'un des cafés les plus emblématiques du Canada et bien qu'il ne puisse pas être considéré comme le meilleur, c'est un incontournable si vous venez dans ce pays. Indispensable pour les locaux.",il y a 2 ans,one of the most iconic cafes in canada and although it cannot be considered the best it is a must if you come to this country essential for locals
Marco Abel,4 étoiles,"Très bon marché, très doux et écoeurant.

Il existe de nombreuses succursales",il y a 4 mois,"very cheap very sweet and cloying

there are many branches"
Juan C. Pinedo,5 étoiles,"Merci pour votre attention.
Mon endroit préféré pour prendre un café de bonne qualité à un prix raisonnable. Mon préféré.",il y a 10 mois,"thank you for your attention
my favorite place to get good quality coffee at a reasonable price my favorite"
고양이스케치북CAT SKETCHBOOK,3 étoiles,"Je suis allé prendre le petit déjeuner et il y avait beaucoup de monde. Le café était bon, mais il faisait trop chaud, j'ai donc dû attendre un peu avant de le boire.",il y a 4 ans,I went to have breakfast and there were a lot of people the coffee was good but it was too hot so I had to wait a bit before drinking it
Noé Fonseca,5 étoiles,Je suis allé dans plusieurs unités à Toronto et à Montréal et elles sont toutes géniales... il y a une carte de fidélité où après un certain nombre d'achats on obtient un café ou un beignet gratuit... Je me méfie parce que j'adore ça et en…,il y a 4 ans,I have been to several units in Toronto and Montreal and they are all great there is a loyalty card where after a certain number of purchases you get a free coffee or donut I am wary because I love it and in
luigy Diaz,5 étoiles,"Bon endroit pour sortir, économique et recommandé. La vanille française et les beignets à l'érable à mon goût sont une très bonne combinaison, ils vendent une variété de produits à goûter et pourquoi ne pas manger quelque chose comme des…",il y a 4 ans,good place to hang out economical and recommended the French vanilla and the maple donuts for my taste are a very good combination they sell a variety of products to taste and why not eat something like
Edith Amador,5 étoiles,"J'adore cet endroit, chaque fois que j'en vois un, j'y vais pour l'acheter.",il y a 10 mois,I love this place every time I see one I go there to buy it
Sergio maldonado,5 étoiles,"Endroit très central
Excellente connexion Wi-Fi
Bon café",il y a 9 mois,"very central location
excellent wifi connection
good coffee"
Jorge Sánchez Mtz,5 étoiles,"Bonne adresse, idéale pour emporter ou sur un coup de tête. De bonnes boissons, du café et du chocolat chaud, ainsi que des frappés sont recommandés.
Ils ont des petits déjeuners complets et de très délicieux muffins et beignets. 🍩☕️…",il y a 7 ans,"good address ideal for take away or on a whim good drinks coffee and hot chocolate as well as frappes are recommended
they have full breakfasts and very delicious muffins and donuts"
Bibiana Campos,4 étoiles,Pas cher et fonctionnel. Avez-vous une connexion Wi-Fi ?,il y a 2 ans,cheap and functional do you have a wifi connection
Lisa Montoya,1 étoile,Bon café américain mais personnel très intolérant,il y a un an,good American coffee but very intolerant staff
LUIS ANDRES MORELO,4 étoiles,"Bon service, superbe vue sur la rue et bon espace pour partager une conversation avec des amis, travailler ou déguster un produit Tim Horton's.",il y a 7 ans,good service superb street view and good space to share a conversation with friends work or taste a tim hortons product
Yani Tenorio,4 étoiles,"Il me semble super bon marché, meilleur que les autres cafés",il y a 2 ans,it seems super cheap to me better than other coffees
Juarez Simioni,5 étoiles,J'adore ton cappuccino à la vanille.,il y a 10 mois,I love your vanilla cappuccino
Fábio J. C.,2 étoiles,"Je n'ai pris que du café et je n'ai pas aimé ça. En fait, je n'ai aimé le café dans aucune des unités.",il y a 6 ans,I only had coffee and I didn't like it in fact I didn't like the coffee in any of the units
Rude Pires,5 étoiles,Excellent pour manger et se reposer. Avec internet gratuit. Et de délicieuses gourmandises.,il y a 4 ans,excellent for eating and relaxing with free internet and delicious treats
Alberto Gomez Trigos,3 étoiles,"Le café américain est bon, mais ils ont la possibilité de prendre un latte.",il y a un an,American coffee is good but they have the option of having a latte
silvana trotta arnoni,4 étoiles,Super endroit pour prendre un café et un beignet. Pas cher et honnête !,il y a 6 ans,great place for cheap and honest coffee and donut
Ettore Luciano,4 étoiles,Le meilleur café expresso bu dans une chaîne de restauration rapide,il y a 6 ans,the best espresso coffee drunk in a fast food chain
Mayra Mejía,4 étoiles,Personnel intolérant à la succursale que j'ai visitée au centre-ville de Montréal,il y a un an,intolerant staff at the branch I visited in downtown Montreal
Diana Hazel González P,5 étoiles,"Bon endroit, bons prix et délicieux café et pains.",il y a 6 ans,good place good prices and delicious coffee and breads
Abner Rodriguez,4 étoiles,Ils doivent être gentils,il y a un an,they must be nice
Simon Bruckmeier,5 étoiles,"Vraiment recommandé, bon petit déjeuner relativement bon marché !",il y a 5 ans,really recommended good relatively cheap breakfast
lee penny,5 étoiles,Les serveurs sont si beaux et leur attitude de service est excellente,il y a 4 ans,the waiters are so beautiful and their service attitude is excellent
Evelin Ponce Alvarez,5 étoiles,"Les prix sont abordables, le goût de leurs produits est excellent.",il y a 6 ans,the prices are affordable the taste of their products is excellent
Manuel Bayardo,5 étoiles,Si vous venez au Canada et que vous ne buvez pas de café chez Tim Hortons. Vous n'avez pas visité le Canada,il y a 5 ans,if you come to canada and you don't drink coffee at tim hortons you haven't visited canada
Elias Ricardo,3 étoiles,La renommée l'emporte sur la nourriture,il y a 8 mois,fame trumps food
Ana,4 étoiles,Restauration rapide à bon prix.,il y a 5 ans,fast food at good prices
Adriano Alex,5 étoiles,Bonne nourriture à un prix raisonnable.,il y a 6 ans,good food at a reasonable price
Franjacate,5 étoiles,Très bonne,il y a 4 ans,very good
Martha Arellano,4 étoiles,Bon café,il y a 5 ans,good coffee
Steffen Gärtner,5 étoiles,Super bon café et petit déjeuner,il y a 4 ans,super good coffee and breakfast
Oscar Gomez,5 étoiles,Tout est délicieux,il y a un an,everything is delicious
Félix Paisano Morales,5 étoiles,Mieux qu'un Starbucks avec d'autres boissons aromatisées,il y a 6 ans,better than Starbucks with other flavored drinks
Hector Quisquinay,4 étoiles,J'aime l'attention,il y a 7 ans,I like attention
Román Toledo Oliver,4 étoiles,Boire du café et du pain,il y a un an,drink coffee and bread
Toni Catala,5 étoiles,Restauration rapide à bon prix,il y a 6 ans,fast food at good prices
Cristi De la A a la Z,4 étoiles,"Riche, chaud et économique 😊…",il y a 6 ans,rich warm and economical
Carlos Souza,3 étoiles,Super café,il y a 4 ans,super coffee
Gloria Maria Estrada Ruiz,5 étoiles,Goût délicieux,il y a 5 ans,delicious taste
Trizia garcia,4 étoiles,Plus de variété au petit-déjeuner,il y a 6 ans,more variety at breakfast
Jola Gurgul,5 étoiles,Café délicieux,il y a 4 ans,delicious coffee
Polo Gonzalez,5 étoiles,Délicieux,il y a 5 ans,delicious
Juan Olivares,5 étoiles,🐅…,il y a un an,
Andrey LS,4 étoiles,Super Double Double,il y a 5 ans,super double double
J Gpe Mendoza,4 étoiles,Bon endroit,il y a 5 ans,good place
Diverti Juegos,5 étoiles,Le meilleur du meilleur,il y a 6 ans,the best of the best
rené kenter,3 étoiles,Bon café,il y a 5 ans,good coffee
